id,fecha,fecha_hora,sentimiento,usuario
1522417825868046336,2022-05-06,2022-05-06 03:27:49+00:00,NEG,@petrogustavo
1522416660522717184,2022-05-06,2022-05-06 03:23:11+00:00,NEU,@petrogustavo
1522375888758841344,2022-05-06,2022-05-06 00:41:10+00:00,NEG,@petrogustavo
1522369713313136644,2022-05-06,2022-05-06 00:16:38+00:00,NEU,@petrogustavo
1522351847389990913,2022-05-05,2022-05-05 23:05:39+00:00,NEU,@petrogustavo
1522351782801948672,2022-05-05,2022-05-05 23:05:23+00:00,NEU,@petrogustavo
1522297207428370438,2022-05-05,2022-05-05 19:28:31+00:00,NEU,@petrogustavo
1522297204978991106,2022-05-05,2022-05-05 19:28:31+00:00,NEU,@petrogustavo
1522297202760032256,2022-05-05,2022-05-05 19:28:30+00:00,NEG,@petrogustavo
1522216464463196161,2022-05-05,2022-05-05 14:07:41+00:00,NEU,@petrogustavo
1522215456345448449,2022-05-05,2022-05-05 14:03:40+00:00,NEU,@petrogustavo
1522212496420925441,2022-05-05,2022-05-05 13:51:55+00:00,NEG,@petrogustavo
1522206471546621959,2022-05-05,2022-05-05 13:27:58+00:00,NEU,@petrogustavo
1522202345655963652,2022-05-05,2022-05-05 13:11:35+00:00,NEG,@petrogustavo
1522053327672037376,2022-05-05,2022-05-05 03:19:26+00:00,NEU,@petrogustavo
1521934094480855040,2022-05-04,2022-05-04 19:25:38+00:00,NEU,@petrogustavo
1521933424940011521,2022-05-04,2022-05-04 19:22:59+00:00,NEU,@petrogustavo
1521886019158745088,2022-05-04,2022-05-04 16:14:36+00:00,POS,@petrogustavo
1521886011604803588,2022-05-04,2022-05-04 16:14:35+00:00,POS,@petrogustavo
1521886002033405953,2022-05-04,2022-05-04 16:14:32+00:00,POS,@petrogustavo
1521885992537501699,2022-05-04,2022-05-04 16:14:30+00:00,POS,@petrogustavo
1521885983549046787,2022-05-04,2022-05-04 16:14:28+00:00,POS,@petrogustavo
1521885973654683650,2022-05-04,2022-05-04 16:14:26+00:00,POS,@petrogustavo
1521860039492911107,2022-05-04,2022-05-04 14:31:22+00:00,NEU,@petrogustavo
1521860038125662210,2022-05-04,2022-05-04 14:31:22+00:00,NEG,@petrogustavo
1521860036527628288,2022-05-04,2022-05-04 14:31:22+00:00,NEU,@petrogustavo
1521830688865103872,2022-05-04,2022-05-04 12:34:45+00:00,NEU,@petrogustavo
1521829217880707073,2022-05-04,2022-05-04 12:28:54+00:00,NEU,@petrogustavo
1521827187292315650,2022-05-04,2022-05-04 12:20:50+00:00,POS,@petrogustavo
1521641581878685700,2022-05-04,2022-05-04 00:03:18+00:00,NEU,@petrogustavo
1521616318004445185,2022-05-03,2022-05-03 22:22:55+00:00,POS,@petrogustavo
1521584908933775360,2022-05-03,2022-05-03 20:18:06+00:00,NEU,@petrogustavo
1521561710691328001,2022-05-03,2022-05-03 18:45:55+00:00,POS,@petrogustavo
1521534062288113665,2022-05-03,2022-05-03 16:56:03+00:00,NEU,@petrogustavo
1521519415476563969,2022-05-03,2022-05-03 15:57:51+00:00,NEU,@petrogustavo
1521494496202084358,2022-05-03,2022-05-03 14:18:50+00:00,POS,@petrogustavo
1521284145292496896,2022-05-03,2022-05-03 00:22:58+00:00,NEG,@petrogustavo
1521193939881152512,2022-05-02,2022-05-02 18:24:32+00:00,NEG,@petrogustavo
1521178856576663559,2022-05-02,2022-05-02 17:24:36+00:00,NEU,@petrogustavo
1521164307853160455,2022-05-02,2022-05-02 16:26:47+00:00,NEU,@petrogustavo
1521164005854875648,2022-05-02,2022-05-02 16:25:35+00:00,NEG,@petrogustavo
1521104369508306944,2022-05-02,2022-05-02 12:28:37+00:00,POS,@petrogustavo
1520884068707147777,2022-05-01,2022-05-01 21:53:13+00:00,POS,@petrogustavo
1520569694494806018,2022-05-01,2022-05-01 01:04:00+00:00,NEU,@petrogustavo
1520568438019825664,2022-05-01,2022-05-01 00:59:01+00:00,NEU,@petrogustavo
