|id|texto|fecha
25|1520826506745991168|Hoy recordamos la lucha por generar condiciones dignas de trabajo. Respaldamos los intereses y derechos de los trabajadores, del cumplimiento de las garantías laborales y el crucial cierre de brechas entre hombres y mujeres.|2022-05-01 18:04:29+00:00
26|1520826502178385921|“Soy orgullosa de ser artesana”, me dijo doña Edilsa hoy en Galapa, Atlántico. En Colombia, todos deberíamos sentirnos orgullosos de nuestro oficio. #DíaDelTrabajador https://t.co/mjKyDInFAo|2022-05-01 18:04:28+00:00
27|1520820990040846336|@MariaSarmientoV @compromisociu @ccexterior 💚👏|2022-05-01 17:42:34+00:00
28|1520806208944451586|La cultura y el talento atlanticense tienen en Galapa un gran potencial. Con cultura y educación vamos a transformar a Colombia y a sacar lo mejor de la gente para dinamizar la economía y el conocimiento. #LaVueltaAlCaribe https://t.co/yPphhzCfFE|2022-05-01 16:43:50+00:00
29|1520805103296565250|@JenniferPedraz Y siempre con mango en mano 💪|2022-05-01 16:39:26+00:00
30|1520783196153122816|@leonUribe_ En Atlántico, a 30 minutos de Barranquilla. Toda una joya.|2022-05-01 15:12:23+00:00
31|1520783068646322177|Colombia tiene todo para ser una potencia cultural. A la economía naranja le quedó grande aprovechar el potencial nacional. #ColombiaCambiará https://t.co/QkVihwUW53|2022-05-01 15:11:53+00:00
32|1520781591605387264|¿Sabían que en Galapa se fabrica el 70% de las máscaras del Carnaval de Barranquilla? Hoy 1 de mayo la mejor forma de conmemorar a l@s trabajadores es comprometernos con un cambio de modelo productivo que apoye a las comunidades para producir local, consumir local y exportar. https://t.co/BUbnLDaUZa|2022-05-01 15:06:00+00:00
33|1520766354005147651|¡Tercer día de #LaVueltaAlCaribe! Llegamos a Galapa, en el Atlántico, y luego seguimos al Carmen de Bolívar, Arjona y Turbaco, en Bolívar. ¡Seguimos pedaleando! Lo que nos sobra es energía. 💪🏽🇨🇴 @LuisGMurillo https://t.co/G7XJj7KSp8|2022-05-01 14:05:27+00:00
34|1520763156284518401|"Siempre he aceptado los resultados de las encuestas, así tuviera algunas dudas. Pero hoy tengo que decir: ""algo huele mal"". Es peligroso lo que está ocurriendo porque las utilizan para influir en la opinión y desvirtuar el sentido de la competencia política. Alarmas prendidas. https://t.co/zuIBUmOssF"|2022-05-01 13:52:45+00:00
35|1520749711468244996|Feliz cumpleaños querido @LuisGMurillo. Ha sido un gusto poder compartir estas semanas con un hombre de tu integridad y energía que irradia esperanza en todos los lugares a los que llega. https://t.co/n53voh1h40|2022-05-01 12:59:20+00:00
36|1520591745695821826|En mi gobierno habrá agua en Santa Marta. No más clanes políticos que se roban la plata del agua de los samarios. #LaVueltaAlCaribe @LuisGMurillo https://t.co/V7H9cm6zpe|2022-05-01 02:31:38+00:00
37|1520579007363878914|En nuestro gobierno la protección de la riqueza natural y los ecosistemas serán fuente oportunidades. Colombia cambiará con una política medioambiental seria y decidida. No más promesas incumplidas. #LoProgramáticoEsPolítico|2022-05-01 01:41:01+00:00
38|1520579004444680196|Implementaremos el Plan Nacional de Zonificación Ambiental para orientar la inversión pública y el desarrollo productivo, e implementaremos al 100 % el Catastro Multipropósito, trabajando con las comunidades permanentemente.|2022-05-01 01:41:00+00:00
39|1520579001500196866|El 7 de agosto comienza el gran programa de educación ambiental para que toda Colombia conozca la riqueza de nuestra biodiversidad y haya una apropiación social de los bosques, valorándolos y repensando cómo acoplar el uso que las comunidades le dan al suelo con la protección.|2022-05-01 01:40:59+00:00
40|1520579000283893762|Detrás de la deforestación están las bandas criminales. Perseguiremos las cabezas de esta actividad criminal y no solamente judicializar los eslabones más débiles: recuperaremos la tierra de esas estructuras.|2022-05-01 01:40:59+00:00
41|1520578998773895170|Estamos perdiendo bosques frente a nuestros ojos. Vemos en tiempo real cómo avanza la deforestación. Vamos a atacar este problema de manera contundente. Reduciremos deforestación en 50% a 2026 para llevarla a cero a 2030. Además, restauraremos -al menos- 1 millón de hectáreas.|2022-05-01 01:40:58+00:00
