,Unnamed: 0,id,texto,fecha
34,34,1520040817683058690,en mi gobierno  los motociclistas van a tener garantías que les permitan ejercer sus labores 🏍💪🏻 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-29 14:02:26+00:00
35,35,1519896862458793986,escuchar a la muchachada vale cualquier trasnocho ☺️ ,2022-04-29 04:30:24+00:00
36,36,1519889360589668352,la violencia es una consecuencia de la falta de trabajo  en los sitios más violentos es donde los índices de desempleo son más altos  la causa se ataca sustituyendo lo que podemos producir aquí  aestahora🔴 en elpaisdelosjovenes rodolfopresidente,2022-04-29 04:00:36+00:00
37,37,1519815432923922432,el descaro más grande es que duque haya querido ponerle iva al hambre 😒🤦🏼 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-28 23:06:50+00:00
38,38,1519805389302382594,esta es la verdadera encuesta📈colombianos  voy a ser su presidente!🇨🇴💛💙rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-28 22:26:56+00:00
39,39,1519798712339517441,¿fajardo  a un paso de votar por mí? ,2022-04-28 22:00:24+00:00
40,40,1519771494502576128,no es posible que la muchachada de colombia busque en el exterior las oportunidades que se les niegan en su propio país 🤦🏼😣  rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-28 20:12:14+00:00
41,41,1519711930654494720,yo insisto en acabar con la corrupción porque es el cáncer que está acabando con colombia y si no lo detenemos ahora  aquí no habrá futuro para la muchachada  rodolfopresidente rodolfohernandez ligaanrrupción elecciones2022 ,2022-04-28 16:15:33+00:00
42,42,1519710172293259264,delfuturoespero que aprendamos del pasado y no lo repitamos  es hora de cambiar la historia: el 29 de mayo daremos el primer paso! rodolfopresidente rodolfohernandez,2022-04-28 16:08:34+00:00
43,43,1519704276347461632,otroparoes justo y necesario  pero el verdadero cambio ocurrirá en las urnas este 29 de mayo  ahí los estaré esperando! 28abril,2022-04-28 15:45:08+00:00
44,44,1519691950378688512,voy recorriendo el país con mi mapita 🗺 de colombia impreso  explicando porqué tenemos el mejor lote de suramérica y preguntando: por qué somos pobres si somos tan ricos? 🤔pd: gracias a los empresarios de cúcuta por apoyarme ¡no les voy a fallar! 🫶🏻🤩rodolfohernandez ,2022-04-28 14:56:10+00:00
45,45,1519664234468102144,mientras las mafias se dan bala y los niños quedan en medio de los disparos  sufriendo las consecuencias del abandono del estado  los polís se abrazan  28abril ,2022-04-28 13:06:02+00:00
46,46,1519662453252046848,hasta la nieve es testigo de mi imparable avance ❄️ ¡mil gracias por tanto apoyo!🇨🇴🫶🏻rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022colombinosenelexterior ,2022-04-28 12:58:57+00:00
47,47,1519660996234825730,elparoes una consecuencia del desgobierno y de las ganas de duque de ponerle iva al hambre  hace un año tumbaron a carrasquilla  pero casi lo tumban a él  yo también marché pero  sobre todo  le agradecí a la muchachada por salir a exigir sus derechos en paz  sin violencia! tbt ,2022-04-28 12:53:10+00:00
48,48,1519495892151291910,así es egan 👏🏻 buen viaje y saludos a la familia 💛💙 ,2022-04-28 01:57:06+00:00
49,49,1519455845511319558,hay que poner a los mismos indígenas  a las mismas comunidades que viven en el amazonas  a que cuiden la selva amazónica siendo  nada más y nada menos  el pulmón del planeta tierra 🌎🌿 rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 ,2022-04-27 23:17:58+00:00
50,50,1519413797605318663,en colombia los polís corruptos acaban con el medio ambiente solo para llenarse los bolsillos de plata 🪵💰😒rodolfohernandez rodolfopresidente ligaanrrupcion elecciones2022 medioambiente ,2022-04-27 20:30:53+00:00
51,51,1519396192173666306,no esperemos hasta el 29 de mayo para que el país empiece a cambiar  elcambiocomienzahoy con pequeños buenos actos ❤️‍🩹🙌🏻 yo rete a _    _fajardo   cuáles son sus buenos actos? 👀🙌🏻 ,2022-04-27 19:20:55+00:00
52,52,1519384807134081024,gracias a la  por este espacio  los quiero mucho 💛💙rodolfopresidente rodolfoes rodolfohernandez ligaanrrupcion elecciones2022 ,2022-04-27 18:35:41+00:00
53,53,1519383998052683776,julio  le cuento que sí voy a llegar  van a ver! ,2022-04-27 18:32:28+00:00
54,54,1519369781656363009,es un descarado  porque cómo así que hace más de 20 años generó un éxodo  acabó los campesinos y ahora se presenta como el salvador de colombia   rodolfoes siguelaw,2022-04-27 17:35:59+00:00
55,55,1519366774562639872,la mayoría de los guerrilleros son de origen campesino  lo que hay que hacer es reactivar el campo  tenemos la tierra  la gente  humedad relativa  latitud y 13 millones de hectáreas desocupadas  entonces ¿por qué no los ponemos a trabajar?  rodolfoes siguelaw,2022-04-27 17:24:02+00:00
56,56,1519366025699106816,yo soy víctima de la guerrilla  pero eso no quiere decir que yo por llegar a la presidencia de la república me vaya a vengar  al contrario  estoy listo para ofrecerles a todos los brazos armados de la guerrilla adherirse al proceso de paz en   rodolfoes siguelaw,2022-04-27 17:21:03+00:00
57,57,1519365162163224578,a las farc tiene que juzgarla la jep y ya llevamos 3 años en eso y es hora de que le metan el acelerador  aestahora 🔴 envivo en  rodolfoes siguelaw ,2022-04-27 17:17:37+00:00
58,58,1519318786108710912,meduelemucho que se sepa cómo fueron los asesinatos cometidos por el ejército  pero nunca se toque al que dio la primera orden  rodolfopresidente rodolfohernandez,2022-04-27 14:13:20+00:00
59,59,1519299589081292800,daniel ¡no le voy a fallar! ,2022-04-27 12:57:03+00:00
60,60,1519296434918641665,notienesentido seguir eligiendo a los mismos de siempre y esperar resultados diferentes🤦🏼‍♂️  rodolfopresidente rodolfohernandez ,2022-04-27 12:44:31+00:00
