,id,tweet,fecha_hora
37,1521540774143438849,hay partidos polís que han estado en el poder desde siempre y son los mismos que hoy se representan en duque  uribe y fico  esos partidos polís son responsables de la colombia que hoy tenemos y por eso los vamos a cambiar  eafitalágora debatesee  ,2022-05-03 17:22:44+00:00
38,1521530217453424641,vamos a cumplir el acuerdo de paz y el primer punto que es el de reforma rural integral  tenemos que entregarle la tierra a los campesinos que la perdieron por la violencia  eafitalágora debatesee  ,2022-05-03 16:40:47+00:00
39,1521521397327147008,la escuela tiene que ser el lugar más importante de cada municipio de colombia  en antioquia creamos nueva generación rural llevando escuelas de campo  junto a la experiencia de los territorios  para niñas y niños  y lo haremos en todo el país  eafitalágora debatesee  ,2022-05-03 16:05:44+00:00
40,1521515758399930371,estamos proponiendo la universidad nacional pública digital para llegar a todas las regiones  haremos de la educación  la ciencia y la tecnología el proyecto más importante del país   eafitalagora debatesee  ,2022-05-03 15:43:19+00:00
41,1521503777563586560,en minutos estaremos desde la  en medellín para hablar sobre los desafíos que afrontaremos al llegar a la presidencia este 7 de agosto  pueden ver la transmisión aquí: ,2022-05-03 14:55:43+00:00
42,1521498022584197120,2020     en camino  los debates enriquecen la democracia y afianzan la participación de los jóvenes  aquí deberían estar tod l candidat  ,2022-05-03 14:32:51+00:00
43,1521492589463154693,la educación es la revolución  invito a que comparen las propuestas  acá un ejemplo  por el profesor julián de zubiría  ,2022-05-03 14:11:15+00:00
44,1521488630019244037,así deben ser todas las campañas  con alegría y convicción! 💚👏 ,2022-05-03 13:55:31+00:00
45,1521470048195522561,estamos aquí por convicción  no por cálculos  con su voto podemos cambiar el “no se puede” por una política decente  colombiacambiará ,2022-05-03 12:41:41+00:00
46,1521335494050729984,💪👏👏👏👏,2022-05-03 03:47:01+00:00
47,1521296574038659073,en córdoba estará el centro de investigación e innovación de agricultura para impulsar el campo colombiano  producir local  comprar local  exportar  esas serán nuestras metas  lavueltaalcaribe ,2022-05-03 01:12:22+00:00
48,1521281537735643143,en colombia no nos podemos dar el lujo de dudar o deslegitimar una amenaza de muerte  se deben tramitar estas denuncias con todo el rigor  mi solidaridad con  ,2022-05-03 00:12:37+00:00
49,1521279156910276614,protegeremos integralmente a líderes sociales y líderes lgbtiq+  no más asesinatos y violencia contra estos liderazgos  a toda la diversidad la atenderemos bajo las mismas premisas  la diversidad  en sus múltiples dimensiones  es una gran oportunidad para colombia  🏳️‍🌈🏳️‍⚧️,2022-05-03 00:03:09+00:00
50,1521279155266019328,fomentaremos la inclusión laboral de la población lgbtiq+ y garantizaremos la salud a todas las personas trans en todo el país  estamos lejos de dar las condiciones para que todas las personas estén en igualdad de oportunidades  de garantías  de posibilidades de desarrollo  👇🏽,2022-05-03 00:03:09+00:00
51,1521279153881952257,vamos a impulsar definitivamente los entornos escolares seguros  con apoyo y educación a estudiantes  familias  instituciones -entre otros- en el entendimiento  respeto y valoración de toda la diversidad  con un rechazo claro a los casos de violencia en cualquier entorno  👇🏽,2022-05-03 00:03:08+00:00
52,1521279152548204545,nuestro compromiso polí es que todas las personas lgbtiq+ puedan gozar y vivir plenamente sus derechos  en cualquier actividad  en los espacios de disfrute y encuentro ciudadano e instituciones  haremos cumplir todas las sentencias de la población lgbtiq+  👇🏽,2022-05-03 00:03:08+00:00
53,1521279149217882113,colombia cambiará solamente cuando todas las personas tengan las mismas oportunidades y sean reconocidas en sus plenos derechos   es una voz potente en múltiples áreas y es un orgullo que sea ella quién cuente nuestra apuesta lgbtiq+ 🏳️‍🌈🏳️‍⚧️ loprogramáespolí 🧵 ,2022-05-03 00:03:07+00:00
54,1521262160969613314,pilas con las ginebras  que  las sirve dobles 😎 ,2022-05-02 22:55:37+00:00
55,1521258281964027911,muchas preguntas hoy con estudiantes de la  en montería  salud  seguridad  icetex y por supuesto la educación  vamos a transformar a colombia con educación  será nuestra revolución para darle a la juventud las oportunidades que merece  lavueltaalcaribe ,2022-05-02 22:40:12+00:00
56,1521226782875299851,liberemos al caribe de las cadenas de la corrupción para que lleguen oportunidades a su gente creativa y alegre  saquemos a los corruptos del poder  a los mismos de siempre que con una mano prometen y con la otra roban  colombiacambiará ,2022-05-02 20:35:02+00:00
57,1521192798413897729,a corozal llegamos con el compromiso de ayudar a campesinos y campesinas para que sus productos dinamicen la economía regional en sucre y que puedan ser exportados con toda la calidad del sello local  💪🏽🇨🇴 lavueltaalcaribe ,2022-05-02 18:20:00+00:00
