id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
21|1531646461267648518|@toyaviudes @petrogustavo jajajajajajajaja jajajajajajajajaja jajajajajajajaja jajajajajajajajaja jajajajajajajaja jajajajajajajajaja jajajajajajajaja jajajajajajajajaja  mi hiciste la mañana con tu candidez |430020830||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:07+00:00
22|1531646453864701954|@molijart @petrogustavo @franciamarquezm aquí hay una idea grandiosa|278625916||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:05+00:00
23|1531646452249796608|@alejoeder @petrogustavo sobre todo  saque un tiempo y por lo menos discutamos sobre el plan y propuesta de gobierno  usted lo dice desde la comodidad del empresario  abra el espacio y debata con la ciudadanía  acaso no quiso un día usted ser alcalde de nuestra cuidad |1013889175404281856||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:05+00:00
24|1531646450869886976|@dianasaray @petrogustavo @6amcaracol @agaviriau  @gomezjuan_s|2805876930||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:05+00:00
25|1531646443429167104|me faltaron guebas para no haber cogido un fusil como @petrogustavo con tanta injusticia social en los 80s y actualmente  hubiera gozado tener a un hp oligarca y burgues como tú  en un cambuche en las montañas de colombia  pero no tuve esas guebas  |1415756931449466882||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:03+00:00
26|1531646441994735617|@petrogustavo ya colombia te ha dicho no muchas veces comunista!|130403415||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:03+00:00
27|1531646429751549954|#micandidatoes el único que nos ofrece un #cambioxdignidad el gran @petrogustavo|1025129826||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:39:00+00:00
28|1531646429290283010|@aabenedetti @petrogustavo @caracolradio el ateo en modo religioso la cuestión está bastante complicada!!🤔🤔🤔😂😂😂😂🤡🤡🤡🤡|1395389295075250176||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:39:00+00:00
29|1531646426362441729|@aabenedetti @petrogustavo @caracolradio petro el ateo ? están desesperados 😁😁|857710487202521088||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:38:59+00:00
30|1531646426228346885|@juliana__r22 yo le cambié ya el voto a mi hija y mi mamá que van a votar por @petrogustavo vamos que se puede|2888395803||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:38:59+00:00
31|1531646422893871105|@amaurichamorro @ingrodolfohdez @petrogustavo el hampón de petro contratando el hampón de amauri si de historias de vidas violentas y corruptas se quisiera hablar  con petro y quienes lo apoyan se puede hacer un libro sin fin |992047388297781253||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:38:58+00:00
32|1531646411246297088|@alfonsoprada @petrogustavo @franciamarquezm esta si es una vicepresidente  para mostrar  no tiene cara de resentida  |1405241220218208262||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:38:55+00:00
33|1531646408322859018|@vanedelatorre @ingrodolfohdez @petrogustavo tiene razon  un atarban que se fundamenta en el ´´salir a votar berracos´´ que propuestas va a debatir?|6533412||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:38:55+00:00
