id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
537|1524236759885922305|@quinterocalle allá estaremos defendiendo  nuestra democracia|2713580040||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:37+00:00
538|1524236759848169474|@quinterocalle ni a segunda llego|427053161||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:55:37+00:00
539|1524236759160270848|@moissangulo8 @quinterocalle hable por usted no por toda colombia   🤣🤣🤣🤣🤣oigan este otro  disque toda colombia  puede llorar |1491629755095035904||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:55:36+00:00
540|1524236757587398658|@quinterocalle llora después de hacer las estupideces más grandes  trabaje por medellín  haga valer los millones que se gana de salario  por lo menos tape huecos y mande a podar las matas |286246767||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:36+00:00
541|1524236755477667840|@quinterocalle no se deje alcalde  no permita que el uribismo se salga con la suya |2809222665||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:36+00:00
542|1524236753434984455|@quinterocalle rata hpta|1267724130775859200||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:55:35+00:00
543|1524236751212093440|@lapacifika @petrogustavo @quinterocalle |782474533089443840||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:35+00:00
544|1524236750998097922|@roberto_burbuja @donizquierdo_ @quinterocalle seguro no va batman que firmó la revocatoria  🤣|1303141865726902272||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-11 03:55:35+00:00
545|1524236750935277568|"que se pronuncien los expertos en leyes por el exabrupto ""jurídico"" de la procuradora margarita cabello contra el alcalde daniel quintero @quinterocalle @josegreghg #elcambioenprimera #quinterosequeda "|2395455918||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-11 03:55:35+00:00
546|1524236750046044172|@marcmetaute @om1982ortiz @guzcarvajal @milingpys @achristiandavid @quinterocalle @ivanduque señor para tener una ideología hay que leer sobre esto  para poder hacer la elección más apropiada según la personalidad de cada uno  respete a la gente que vota por petro y quintero porque los demás han respetado 20 años de lacra uribista |1465549240965414914||{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:55:34+00:00
