id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
22|1531649778555166721|@petrogustavo teniendo a los mayores violadores de mujeres y niños en sus filas como son las farc  me vas hablar de respeto a la mujer  usted siempre con su campaña sucia y  llena de corruptos; como lo es roy barreras  benedetti  la aliada fiel de la farc piedad cordoba |961081266283180032||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:18+00:00
23|1531649777892569089|@petrogustavo en un país dicen que los secuestradores  terrorists  violadores y narcos  deben ser perdonados  adivina cuál? colombiaqueremos que todo aquel alzado en armas en el pasado  pague por sus delitos y sean inhabilitados políticamente  incluso  ojalá existiera la pena de muerte |439524568||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:18+00:00
24|1531649775732391936|@pierrealee @petrogustavo @roybarreras @aabenedetti @alfonsoprada esos tres serán miembros de la liga anrrupcion? jajajaja partida de ratas |374789099||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:17+00:00
25|1531649773094195200|@jnez_fadul @ingrodolfohdez @ivanduque @petrogustavo te lo estarán pidiendo a ti  acá la lucha no es con el electorado si no con las maquinarias de siempre  incluso nuestra meta es ganar adeptos de fico|701500081||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:17+00:00
26|1531649770967535619|@guidogomez1973 @petrogustavo @alvarouribevel jamás|857710487202521088||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:16+00:00
27|1531649764437151744|@julibidinosa para recordar ¿quién salvo #ecomoda? betty  economista  ¿qué profesión es la que tiene #petro @petrogustavo ? ahí dejo otra reflexión 🤔👀👀 #elecciones2022|193418600||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:15+00:00
28|1531649764005138434|@epicurodesamos_ @petrogustavo al  cambiar su discurso lo llegsrian a tildar de populista  ahi nos damos cuenta que en serio colombia necesita un cambio  para acabar con la ignorancia |1136398693928714240||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:15+00:00
29|1531649759592710146|@maurosgal @petrogustavo a convencer a quien sea! 2 personas cada uno vamos|286005854||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:14+00:00
30|1531649757466206209|@magragu_ @luispr0305 @nufloma @hernnaguirre6 @petrogustavo pls   tranquis  con amor todo llega mejor  🤗❤💜🕊|1466287477191229443||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:13+00:00
31|1531649755243286528|@mirandasusplo @petrogustavo |966567426||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:12+00:00
32|1531649749144715265|@epicurodesamos_ @petrogustavo lenguaje coloquial|864208098281607168||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:11+00:00
33|1531649739564924929|@petrogustavo su oficina de senador ya se la mandaron a limpiar nuevamente  su mortandad política es fulminante  escogió mal a su verdugo  la horca de naaman|566659507||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:09+00:00
34|1531649734888370176|@guribe3 @petrogustavo se fortalece aún más el equipo de petro  y en efecto es que los programas del centro y del pacto son muy similares  que se acabe el miedo |70237468||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:52:08+00:00
35|1531649730962415619|@guidogomez1973 @petrogustavo @alvarouribevel no|1104527600393834496||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:52:07+00:00
36|1531649730706644994|@juliabermdez2 @petrogustavo @franciamarquezm totalmente de acuerdo  hay que capturar el voto de los indecisos  son mas de 17 millones de abstencionistas  el uribismo está celebrando  por que hicieron la suma de 6 millones de rh mas 5 de fico  pero no cuentan con 17 millones q no salieron  a seguir  por un real cambio¡|788465975150669824||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:52:07+00:00
37|1531649726965219329|@petrogustavo lo apoyamos desde méxico  la oposición siempre inventa mentiras  medios controlados  y opositores |614532806||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:06+00:00
38|1531649724457144320|@ivanality @levyrincon @petrogustavo @beralg @susanaboreal @medicenwally @diamaov @quinterocalle @carloscarrilloa @saninpazc @smilelalis|212588109||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:05+00:00
39|1531649724058591238|@toyaviudes @petrogustavo yo le pregunto  porque bogota lo apoya ?|66822470||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:05+00:00
40|1531649720589893634|@petrogustavo que desespero tan hp|423511757||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:04+00:00
41|1531649701883400194|si @ingrodolfohdez es el rey de tiktok  entonces @petrogustavo es el rey de facebook después de ver millonada que gasto en campaña en esa plataforma? 🤔🤔|59352771||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:52:00+00:00
42|1531649699933048844|@leonardonzalez @julianroman @santialarconu @teatropetra @petrogustavo @geraldbermudez_ @rueda_suelta @fabiorubianoo @pizarromariajo @margaritarosadf @mdefrancisco12 🤣🤣🤣🤣🤣🤣🤣🤣|2610119181||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:59+00:00
43|1531649696296579072|@petrogustavo mucho cuidado!!! el uribismo solo está mudando de piel con rodolfo|4149463100||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:58+00:00
44|1531649694182658048|@guidogomez1973 @petrogustavo @alvarouribevel noooooooooooooooooooooooooooooo  jamás votaría por @petrogustavo|144699820||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:51:58+00:00
45|1531649693075349506|@andresr73189853 @camiloarguello @petrogustavo petro cambio x la vida tipo comunista no gracias|864193086951489539||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:58+00:00
46|1531649681243181060|ni mi amado jesús crucificado le come cuento a la banda de corruptos y más a quien incineró magistrados en un palacio de justicia ‼️‼️ chao @petrogustavo te retiras de la política y detrás van @gustavobolivar @nicolaspetrob @aabenedetti @roybarreras @piedadcordoba y corte nefasta |1395510653327183879||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:55+00:00
47|1531649681121595392|@alejomichells @julianroman @partidoverdecol @petrogustavo @franciamarquezm @intiasprilla @mirandabogota @cathyjuvinao @mafecarrascal @pizarromariajo @heidy_up @camiloromero @duvaliersanchez @verdesacolores @arielanaliza la corrucion  la calunia  monomenos  gracias a dios antioquia salvará a colombia de nuevo|3378071399||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:55+00:00
48|1531649665204207616|@petrogustavo así como usted perdonaba a sus secuestrados? asesinandolos? |1511713340254474242||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:51+00:00
49|1531649663128031232|@jafecoro @petrogustavo hombre   primera propuesta de ese sr que se debe apoyar al 1000 %   vamos a cumplir el sueño de millones de colombianos |1010220320||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:51+00:00
50|1531649661722927104|@felipe_ramiirez @misspoirot07 @partidoverdecol @petrogustavo @franciamarquezm de verdad  gracias por haberte adherido a la campaña de @petrogustavo son millones y millones de colombianos (de a pie) que merecen esa igualdad por la que tantas personas han luchado pero que han sido sesgadas desde todo contexto    sesgadas de su vida propia|2940304401||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:50+00:00
51|1531649660451946496|@toyaviudes @petrogustavo respuesta seria: el consejo no lo dejó hacer más    y a pesar de eso hizo mucho |629501468||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:51:50+00:00
52|1531649656404557826|@petrogustavo va bien pero todavía falta  si revisan lo que han hecho mal en su campaña y lo corrigen se puede  debe acercarse mas a la gente y explicar mejor sus propuestas  demostrar que puede ser un buen gobernante #pactohistorico|985759598||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-31 14:51:49+00:00
53|1531649650020712450|@petrogustavo rodolfo tiene toda la razón  el que se vea su video y no lo entienda  que se haga revisar la cabeza |1172852466322411526||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:51:47+00:00
54|1531649649794244608|@toyaviudes @petrogustavo los únicos que creen que será un buen presidente de colombia serán los crimínales |141375167||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:51:47+00:00
55|1531649646208098305|@teotiburon @petrogustavo lo que no entiendo es por qué os enfada tanto que haya gente a las que le parezca un pésimo alcalde  votad por él para presidente y listo |306674368||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-31 14:51:46+00:00
56|1531649643037306880|@clametor @petrogustavo asi es soy antipetrista vamos con el ing rodolfo hernández|1290819319425835011||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:46+00:00
57|1531649640445124608|@oficialhassam @conycamelo @petrogustavo |1503073331410612226||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:45+00:00
58|1531649636179628033|@maryclau0889 @hermesjosesilva @petrogustavo @franciamarquezm yo quiero uno con mi nombre mauricio  me ayudas  por fis?|1482415310070235137||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:44+00:00
59|1531649630961815552|@jimandolini @petrogustavo @ingrodolfohdez *a los yankees no lea gusta esto |29795951||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:43+00:00
60|1531649628428541952|de nuevo hago un llamado a la @coaliesperanza especialmente a @sergio_fajardo @luisgmurillo y @antoniosanguino liderazgos que admiro profundamente para que se sienten a dialogar con @petrogustavo para encontrar caminos que les permita hacer equipo   por la paz  educación y ods |287794536||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-31 14:51:42+00:00
