id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
691|1523808831100227584|@angielara14 @ingrodolfohdez la verdad sea dicha no hay uno bueno  no lo hay y dificilmente aparecera uno digno en varias decadas  hay que sobrevivir y no vivir de la politica |613034752||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:35:10+00:00
692|1523808777056944128|@funkyc4t @lasillavacia @petrogustavo @ficogutierrez @ingrodolfohdez @sergio_fajardo por eso esta ciudad está vuelta nada |256265817||{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}|Twitter for iPhone|2022-05-09 23:34:58+00:00
693|1523808681174999041|@ingrodolfohdez para lograr eso tiene que haber cobertura del 100%|1270805489018863645||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-09 23:34:35+00:00
694|1523808641115201536|@wcarrenom @ingrodolfohdez ese es el problema de la fe  que no se basa en los hechos  que solo son pajazos mentales  rodolfo no pasará a segunda vuelta  ahora su carrera es por la reposición de votos que quizás le dejé algo de ganancia después de no haber invertido mucho en campaña |997997163819995136||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:34:25+00:00
695|1523808531035611136|@ciudada79082533 @elrenejimenez @ingrodolfohdez @sergio_fajardo yo creo que más de uno que apoyamos el ph no lo hacemos siguiendo un mesías sino una idea de cambio estructural  el que si tiene un mesías es otro y ya por más de 20 años  ese mesías sigue poniendo falsos dioses|336175917||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:33:59+00:00
696|1523808457664704512|@ingrodolfohdez sería nefasto para la educación quitar el exámen de admisión  es la única forma de saber qué tan preparado está el estudiando para ingresar a la institución  lo q falta es que les regalen el título a ese montón de vagos |900776904814473216||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:33:41+00:00
697|1523808372851675136|@hillaryhuertas3 @ingrodolfohdez petro es un demagogo izq  que solo desea implantar el socialismo apoyado por personas con pronturario  fico es la continuidad de duque y está aliado también con ladrones burocratas como  yahir acuña  gaviria  los char el cambio es rodolfo  honesto y con ideas que habla y aplica|1483431016513646598||{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-09 23:33:21+00:00
698|1523808332095631362|@ingrodolfohdez sus propuestas son excelentes|320802519||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-09 23:33:12+00:00
699|1523808254815797249|@ingrodolfo_fans @ingrodolfohdez |1522635181||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-09 23:32:53+00:00
700|1523808190000996352|@ingrodolfohdez @linamariaroar |555911790||{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-09 23:32:38+00:00
701|1523808073240006656|#candidatospresidenciales #sinopcion2 vuelta ellos saben no pasarán su campaña es ganarse unos millones💰💰💰 por reposición de votos @petrogustavo @pactohistorico @sergio_fajardo @ingrodolfohdez @ibetancourtcol @johnmiltonr_ |1408938534510206980||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:32:10+00:00
702|1523808014696054784|@ingrodolfohdez @sergio_fajardo ay después de viejo se le moja la canoa|155597763||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:31:56+00:00
703|1523807902183866368|@sergio_fajardo @wradiocolombia amenaza muy grande para usted mismo  su ego lo llevo a pactar unirse con @ingrodolfohdez seguro que estaría por encima cuando saliera la encuesta y como no fue así prefirió no cumplirle la palabra requemado!! y no por @isazuleta por los colombianos que no creemos en usted |1113396912||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for iPhone|2022-05-09 23:31:29+00:00
704|1523807844855861256|sacamos un libro con la historia de 12 aspirantes a la presidencia  acá la de @ingrodolfohdez: 👉versión física disponible en la librería de su preferencia o acá:  |24376343||{'retweet_count': 1, 'reply_count': 0, 'like_count': 9, 'quote_count': 0}|Twitter Media Studio|2022-05-09 23:31:15+00:00
705|1523807783132745730|@ingrodolfohdez @sergio_fajardo te amo viejito  me haces totear de la risa 🤣🤣🤣🤣|1486008980||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:31:01+00:00
706|1523807782499241984|@franzfuya @ingrodolfohdez @sergio_fajardo jajjakakakakakkakakskksks|51113654||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:31:00+00:00
707|1523807694733336582|@ingrodolfohdez @sergio_fajardo jajajajajajajjaajaajaa|125129992||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:30:40+00:00
708|1523807682372636672|@ingrodolfo_fans @ingrodolfohdez en bucaramanga-santander 7 de cada 10 personas a las que les hago la misma pregunta van a votar por el ingeniero rodolfo hernández|1522635181||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-09 23:30:37+00:00
709|1523807657580146689|@rhpresidente @ingrodolfohdez @sergio_fajardo ingeniero usted es una persona muy simpática y sin duda sería mejor presidente que duque  pero al menos que algo extraordinario sucediera  la posibilidad de ser presidente esta vez no está clara  de no pasar a 2 vuelta a quien le entregaría el país?|1506052810319839240||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for iPhone|2022-05-09 23:30:31+00:00
710|1523807405850648576|@ingrodolfohdez admiró su optimismo mi señor |1509168016600219662||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:29:31+00:00
711|1523807320781713408|@ingrodolfohdez @sergio_fajardo no coman cuento  @ingrodolfohdez es 💩 @petrogustavo   y en sentido contrario |1391844282642882562||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:29:10+00:00
712|1523807295297458176|@johncarlospabon @manolete @jorgeineira @alcaldiabga y su aspiración qué viene siendo: “la salvación de bucaramanga”  asaltaron los votos del @ingrodolfohdez  ahora se quieren meter por lo techos de la @alcaldiabga con el cuento del petrismo |74866542||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-09 23:29:04+00:00
713|1523807176594235392|@taboadarosendo1 muy bueno que @sergio_fajardo se dé cuenta de que la zuleta le dió en la jeta  para que él y @ingrodolfohdez dejen de contemplar la posibilidad de darle sus votos a ese asesino  esa mujer tiene pura pinta de guerrillera resentida  esa    tendrá su merecido!|272521930||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter Web App|2022-05-09 23:28:36+00:00
714|1523807157203787777|@ingrodolfohdez vamos rodolfo! únete al pcto histórico !|1479688523175190529||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-09 23:28:31+00:00
715|1523807109502369792|mas mentiras y de lo mismo:consejos de seguridad  extradiccion recompensas etc medidas para galeria porque esta comprometido con la corrupcion narco etc  @petrogustavo el 29may pondra la casa en orden  @sergio_fajardo @ingrodolfohdez @ibetancourtcol @laluciernaga |1191016867516862464||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-09 23:28:20+00:00
716|1523807015721652225|@ingrodolfohdez estimado ingeniero en ti está una gran votación en colombia de no pasar a segunda vuelta  no vayas a apoyar a gustavo petro  por el bien de la democracia usted sabe más que yo de eso  que la diferencia no te nuble el corazón |1395809679926829063||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-09 23:27:58+00:00
717|1523807008989663233|@juan_ogliastri @figuerjoda @ingrodolfohdez 😂😂😂😂 le deseo toda la suerte del mundo…en el 2026 🙏🏻🙏🏻🙏🏻  porque en el 2022 le  al @ingrodolfohdez arreglar este país|1164734591619387392||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter Web App|2022-05-09 23:27:56+00:00
718|1523806971652153344|@ingrodolfohdez ingeniero  no hay que bajar la guardia en el nivel académico  al contrario  hay que apretar más para graduar profesionales competentes  ¿por qué se caen los puentes? otra cosa es el valor de la matrícula  ahí si se puede aflojar    un cordial saludo 🙋🏻‍♂️|1169418249164996609||{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}|Twitter Web App|2022-05-09 23:27:47+00:00
